Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What is enhanced for loop?,for-each loop,Traditional for,Infinite loop,Switch loop
What is enhanced for syntax?,for(Type var : collection),for(var in collection),for(var : Type collection),foreach(Type var in collection)
Can enhanced for modify collection?,No (not safely),Yes,Only add,Only remove
Can enhanced for access index?,No,Yes,With counter,With method
What types work with enhanced for?,Arrays and Iterables,Only arrays,Only collections,Any type
Can you use break in enhanced for?,Yes,No,Only traditional for,Only in Java 17
What is a while loop?,Pre-test loop,Post-test loop,Counter loop,Infinite loop
When is while condition checked?,Before each iteration,After each iteration,Once,Never
Can while loop never execute?,Yes,No,At least once,Only if false
What is do-while loop?,Post-test loop,Pre-test loop,Counter loop,For loop
When is do-while condition checked?,After each iteration,Before each iteration,Never,Once
Does do-while execute at least once?,Yes,No,Only if true,Only if false
What is the do-while syntax?,do { } while(condition);,while(condition) do { },do while(condition) { },while { } do(condition)
Is semicolon required after do-while?,Yes,No,Optional,Only without braces
Can while loop be infinite?,Yes,No,Only for,Only with true
What makes while loop infinite?,Condition always true,No condition,No body,break statement
What does break do?,Exits loop or switch,Continues loop,Exits method,Skips iteration
Can break be used outside loop/switch?,No,Yes,Only in if,Only in method
What does unlabeled break do?,Exits innermost loop/switch,Exits all loops,Exits method,Continues loop
What does labeled break do?,Exits to labeled statement,Exits method,Same as break,Syntax error
What is a label?,Identifier followed by colon,Variable,Method name,Loop name
Where can labels be placed?,Before statements,After statements,Inside loops,Anywhere
Can labels be used with if?,Yes,No,Only loops,Only switch
What does continue do?,Skips to next iteration,Exits loop,Exits method,Same as break
Can continue be used in switch?,No,Yes,Only with yield,Only in expressions
Can continue be used outside loop?,No,Yes,Only in if,Only in method
What does unlabeled continue do?,Skips to next iteration of innermost loop,Exits loop,Skips to end,Exits all loops
What does labeled continue do?,Skips to next iteration of labeled loop,Exits loop,Same as continue,Syntax error
Can you have nested loops?,Yes,No,Only two levels,Only same type
What does break do in nested loop?,Exits only innermost loop,Exits all loops,Continues outer,Exits method
What does continue do in nested loop?,Continues innermost loop,Continues all loops,Exits inner,Continues outer
Can labels have same name?,No (in same scope),Yes,Only different types,Only in Java 17
Can you jump forward with labels?,Yes,No,Only backward,Only loops
Can you jump backward with labels?,No,Yes,Only forward,Only to start
What is unreachable code?,Code that can never execute,Dead code,Code after return,All of above
Is unreachable code allowed?,No (compilation error),Yes,Only in methods,Only after break
What makes code unreachable?,Code after return/break/continue/throw,Code in loop,Code in if,Any code
Can you have statement after break?,No (unreachable),Yes,Only in braces,Only in Java 17
Can you have statement after continue?,No (unreachable),Yes,Only in braces,Only in Java 17
Can you have code after infinite loop?,No (unreachable),Yes,Only if break,Only with return
Does while(true) make code unreachable?,Yes,No,Only without break,Only in Java 17
Does if(true) make else unreachable?,Yes,No,Only constant,Depends
Can switch expression use patterns?,Yes (Java 17+),No,Only statements,Only with yield
Can switch use null case?,Yes (Java 17+ with patterns),No,Only default,Only String
Can switch use sealed types?,Yes (Java 17+),No,Only enum,Only with patterns
What is pattern matching in switch?,Type patterns with instanceof,String matching,Regex,Variable patterns
Can switch have multiple labels per case?,"Yes (case 1,  2,  3)",No,Only expressions,Only in Java 17
What is the syntax for multiple case labels?,"case 1,  2,  3 -> ...",case 1 | 2 | 3 -> ...,case 1: case 2: case 3:,case 1 || 2 || 3 ->
Can traditional switch have comma-separated labels?,No,Yes,Only in Java 17,Only expressions
Can you return from switch expression case?,No (use yield or arrow),Yes,Only with arrow,Only in Java 17
What is the scope of case variable?,Entire switch (traditional) or case block (expression),Only case,Entire method,Global
Can you declare variable in traditional case?,Yes (but scope issues),No,Only final,Only in braces
Must case blocks have braces in expression?,Yes (if multiple statements),No,Always,Never
Can for loop have no body?,Yes (empty statement),No,Only while,Compilation error
What does for(int i=0; i<10; i++); do?,Nothing (empty loop),Prints numbers,Infinite loop,Compilation error
Where is for loop variable scoped?,Inside for block,Entire method,After loop,Global
Can you access loop variable after for?,No (out of scope),Yes,Only if declared outside,Only in Java 17
Can for update be missing?,Yes,No,Only condition,Compilation error
Can while condition be missing?,No,Yes,Only if true,Infinite loop
Is while(true) valid?,Yes (infinite loop),No,Compilation warning,Runtime error
Is do { } while(false) valid?,Yes (executes once),No,Compilation error,Infinite loop
Can do-while have break?,Yes,No,Only while,Only for
Can you nest different loop types?,Yes,No,Only same type,Only two levels
What is the maximum nesting level?,No limit (practical limits exist),10,5,2
Can switch be nested?,Yes,No,Only in loops,Only two levels
Can you use goto in Java?,No,Yes,Only with labels,Only in loops
Are labels like goto?,No (more limited),Yes (same),Only for loops,Only forward
Can finally block have break?,No (compilation error),Yes,Only in try,Only with catch
Can finally block have continue?,No (compilation error),Yes,Only in try,Only with catch
