Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
If exception thrown but not caught," does finally execute?, Yes",No,Sometimes,Only for checked
Can finally throw exception?,Yes,No,Only unchecked,Only if catch throws
What happens if both catch and finally throw?,Finally exception propagates,Catch exception propagates,Both thrown,Compilation error
Can you have return in try?,Yes,No,Only void,Only with finally
Can you have return in catch?,Yes,No,Only void,Only if finally has return
Can you have return in finally?,Yes (but not recommended),No,Only void,Recommended
Which return executes if all blocks have return?,finally,try,catch,First one
What does unreachable code mean?,Code that can never execute,Code after exception,Code in catch,Dead code
Is code after throw unreachable?,Yes,No,Only checked,Only unchecked
Must catch block catch something?,Yes (at least declare parameter),No,Only exception,Can be empty
Can you catch multiple exceptions in separate catches?,Yes,No,Only multi-catch,Only same type
What is the benefit of multi-catch?,Less code duplication,Faster execution,Better performance,Required in Java 17
When was multi-catch introduced?,Java 7,Java 6,Java 8,Java 9
Can exception variable be final?,Yes (implicitly in multi-catch),No,Only single catch,Must be explicit
Is try-with-resources better than finally?,Yes (cleaner and safer),No,Same,Only for files
What interface did Closeable extend before Java 7?,Nothing (introduced in Java 5),AutoCloseable,Resource,Flushable
When was AutoCloseable introduced?,Java 7,Java 5,Java 8,Java 6
Can you manually close resource in try-with-resources?,Yes (but automatic close still happens),No,Only if exception,Prevents automatic close
