Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Can type parameter shadow class parameter?,Yes (method parameter can differ),No,Compilation error,Runtime error
What is type inference?,Compiler deduces type from context,Manual typing,Runtime typing,Type erasure
When does type inference occur?,Method invocation, diamond operator,Never,Only diamond,Only methods
Can you explicitly specify type arguments?,Yes (<Type>method()),No,Only implicit,Only classes
What is target typing?,Type inferred from assignment target,Source typing,Method typing,Parameter typing
"For List<String> list = new ArrayList<>(), what is inferred?",String,Object,Nothing,ArrayList
Can you use var with generics?,Yes,No,Only Java 11+,Only bounded
"For var list = new ArrayList<String>(), what is type?",ArrayList<String>,List<String>,List,ArrayList
Can you use primitives as type arguments?,No (use wrappers),Yes,Only int,Only boolean
What happens with List<int>?,Compilation error,Uses Integer,Creates primitive list,Runtime error
What is generic exception?,Cannot exist (no generic Throwable subclasses),Regular exception,Type-safe exception,Parameterized exception
Can you catch generic exception?,No (type erasure),Yes,Only bounded,Only runtime
Can you throw type parameter?,No (unless bounded by Throwable),Yes,Always,Only checked
What is heap pollution?,Contamination from raw types or unsafe casts,Memory leak,Stack overflow,Type safety
When does heap pollution occur?,Mixing raw types with generics,Never,Only errors,Only arrays
What is @SafeVarargs?,Suppresses warnings for varargs heap pollution,Makes method safe,Adds safety checks,Prevents errors
Where can @SafeVarargs be used?,Final/static/private methods and constructors,Any method,Only varargs,Only generics
What is generic singleton factory pattern?,Single instance for different types,One factory,Singleton with generics,Factory method
What is heterogeneous container?,Container holding different types (e.g., Map<Class<?>, Object>),Homogeneous container,List of objects,Mixed collection
What is typesafe heterogeneous container?,Uses Class objects as keys for type safety,Unsafe container,Regular map,Generic list
What is favor composition over inheritance?,Use generics with composition,Always inherit,Never compose,Equal preference
Can lambda use type parameters from class?,Yes (captured),No,Only method parameters,Only new parameters
Can lambda introduce new type parameters?,No,Yes,Only Java 11+,Only bounded
What is difference between <T> and <?>?,T is type parameter, ? is wildcard,Same thing,T for classes only,? for methods only
When to use T vs ?,T when using type, ? when only reading,Always T,Always ?,No difference
Can you instantiate T?,No (without reflection or factory),Yes,Only bounded,Only with new
What is supplier pattern for generics?,Pass Supplier<T> or Class<T> to create instances,Regular supplier,Factory pattern,Builder pattern
What is Class<T>?,Represents class of type T,Any class,Generic class,Type parameter
What does clazz.newInstance() do?,Creates instance (deprecated),Returns class,Gets type,Compiles class
What is preferred over newInstance()?,clazz.getDeclaredConstructor().newInstance(),Class.forName(),new Object(),Reflection
Can you have generic annotation?,No (limited support),Yes,Only retention,Only target
