Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What is access modifier for nested interface?,Can be public, protected, private, package-private,Only public,Only private,Only protected
Can local class implement interface?,Yes,No,Only anonymous,Only named
Can anonymous class implement interface?,Yes,No,Only local,Only nested
Can lambda implement interface with multiple methods?,No (only functional),Yes,Only default methods,Only static methods
What is Comparator interface?,Functional interface for comparing,Comparable,Comparison,Iterator
What is Comparable interface?,Interface for natural ordering,Comparator,Functional interface,Iterator
How many abstract methods in Comparable?,One (compareTo),Two,None,Many
Can interface have private static method?,Yes (Java 9+),No,Only public static,Only default
What is purpose of private interface method?,Helper for default/static methods,Encapsulation,Required,Public alternative
Can private interface method be abstract?,No,Yes,Only Java 11+,Only static
Can you call private interface method from implementing class?,No,Yes,Only default,Only static
What is multiple inheritance of type?,Class implements multiple interfaces,Multiple superclasses,Diamond problem,No inheritance
What is multiple inheritance of state?,Multiple instance variables from parents (not in Java),Multiple interfaces,Diamond problem,Java feature
Does Java support multiple inheritance of state?,No (single class inheritance),Yes,Only interfaces,Only abstract
Does Java support multiple inheritance of type?,Yes (multiple interfaces),No,Only abstract,Only single
Can interface have instance initializer?,No,Yes,Only static,Only constants
Can interface have static initializer?,Yes,No,Only instance,Only methods
What is purpose of static block in interface?,Initialize static constants,Initialize instance,Required,Constructors
Can static block in interface throw exception?,Yes (initialization error),No,Only unchecked,Only checked
What is evolution of interfaces?,Adding methods over time,Interface versions,Inheritance,Implementation
How do default methods help evolution?,Add methods without breaking existing implementations,Performance,Required,Syntax
What happens if don't override default?,Uses default implementation,Compilation error,Abstract method,Nothing
Can default method call other default methods?,Yes,No,Only abstract,Only static
Can default method call abstract methods?,Yes,No,Only default,Only static
Can static method call default methods?,No (needs instance),Yes,Only in same interface,Only public
Can static method call other static methods?,Yes,No,Only public,Only same interface
Can abstract method call default methods?,No (no implementation),Yes,Only override,Only interface
What is interface vs class for constants?,Both can hold constants,Only interface,Only class,Neither
Should you use interface only for constants?,No (constant interface anti-pattern),Yes,Required,Best practice
What is constant interface anti-pattern?,Interface only for constants,Good practice,Required pattern,Modern approach
What is preferred over constant interface?,Class with private constructor or enum,Interface,Abstract class,Multiple interfaces
Can interface be package-private?,Yes,No,Only public,Only nested
Can interface be private?,Only nested interfaces,No,All interfaces,Only Java 9+
Can interface be protected?,Only nested interfaces,No,All interfaces,Only in abstract class
What is implicit modifier for top-level interface?,public or package-private,Only public,abstract,interface
What is covariant return type?,Override with subtype return,Same return type,Any return type,No return type
Can interface method have covariant return in implementation?,Yes,No,Only Object,Only same type
Can overriding narrow exception?,Yes,No,Only unchecked,Only checked
Can interface method throw exceptions?,Yes (abstract and default can),No,Only unchecked,Only default
Can implementing method throw fewer exceptions?,Yes,No,Must throw same,Must throw more
Can implementing method throw more checked exceptions?,No,Yes,Only if declared,Only unchecked
What is marker vs functional interface difference?,Marker has zero, functional has one abstract method,Same thing,Marker deprecated,Functional is new
