Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Can enum have package-private methods?,Yes,No,Only public,Only private
What is purpose of enum?,Type-safe constants,Performance,Syntax sugar,Replace integers
What is advantage of enum over constants?,Type safety, methods, fields,Performance,Memory,Shorter code
Can enum have main method?,Yes,No,Only static,Only nested
Can you subclass enum constant?,No (constants are final),Yes,Only with body,Only abstract methods
What is constant-specific class body?,Anonymous class for each constant,Regular class,Static class,Inner class
Can enum constructor call instance method?,No (not initialized yet),Yes,Only static,Only super
Can enum constructor access static fields?,Yes,No,Only final,Only after initialization
What is circular initialization in enum?,Constant refers to not-yet-initialized constant,No such issue,Compilation error,Runtime error
Can enum constant reference another constant?,Yes (if already initialized),No,Always,Only forward reference
Can you have forward reference in enum?,No (in initializer),Yes,Always,Only backward
What happens with forward reference?,Compilation error or unexpected null,Works fine,Runtime error,Warning
Can enum have static initializer?,Yes,No,Only instance,Only constructor
When is enum class initialized?,First reference to any constant or static member,At startup,Never,Each access
Are all enum constants initialized together?,Yes (when enum class is loaded),No,One at a time,On demand
Can enum constant be lazy-initialized?,No (all initialized at class load),Yes,Only with fields,Only methods
What is singleton pattern with enum?,Single-constant enum,Multi-constant enum,No pattern,Deprecated pattern
Why use enum for singleton?,Simple, thread-safe, serialization-safe,Only tradition,Performance,No reason
Can enum prevent reflection attacks?,Yes,No,Only with security manager,Only private constructor
Can enum prevent serialization attacks?,Yes (special handling),No,Only with Serializable,Only readResolve()
What is strategy pattern with enum?,Enum constants as strategies,No pattern,Only methods,Only fields
Can enum implement command pattern?,Yes (constants as commands),No,Only with methods,Only interfaces
Can enum have companion object pattern?,No (no companion objects in Java),Yes,Only static,Only nested
What is valueOf() vs name()?,valueOf() takes String, name() returns String,Same thing,valueOf() returns ordinal,name() takes String
Can you create enum at runtime?,No (fixed at compile time),Yes,With reflection,With factory
Can you add enum constants at runtime?,No,Yes,With reflection,With annotation processor
What is purpose of ordinal()?,Internal use (array index in EnumSet/Map),Public API,Required,Comparison
Should public API depend on ordinal()?,No (implementation detail),Yes,Always,Required
Can two constants have same ordinal?,No (unique per constant),Yes,Only different enums,Only same value
What is Enum class?,Abstract class all enums extend,Interface,Enum type,Base class
Can you extend Enum class?,No (compiler does it),Yes,Only for enums,Only abstract
What methods does Enum class provide?,"name(), ordinal(), equals(), hashCode(), compareTo(), toString()",Only name(),Only ordinal(),None
Can you override equals() in enum?,Yes (but not recommended),No (final),Required,Always
Can you override hashCode() in enum?,Yes (but not recommended),No (final),Required,Always
Is enum equals() based on ==?,Yes,No,Only sometimes,Only if overridden
Can enum be used in annotations?,Yes,No,Only as value,Only constants
Can enum constant be annotation value?,Yes,No,Only Class,Only String
What types allowed in annotations?,"Primitives, String, Class, enum, annotation, arrays",Any type,Only primitives,Only String
Can enum have varargs constructor?,Yes,No,Only regular args,Only one param
Can enum constants have different fields?,Yes (via constructor),No,Same fields,Only static
Can enum have multiple constructors?,Yes (overloading),No,Only one,Only default
