Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What is order for switch patterns?,Most specific to least specific,Any order,Least to most,Alphabetical
Can you have null case in switch?,Yes (Java 17+),No,Only default,Only with pattern
What is syntax for null case?,case null ->,case (null),null:,when null
Can pattern variable be null?,No (null doesn't match type patterns unless explicit),Yes,Only Objects,Only with guard
What happens when switching null without null case?,NullPointerException,Matches default,Compilation error,Matches Object
Can you have both null and default?,Yes,No,Only Java 21,Only sealed
What is unconditional pattern?,Pattern always matching,Default pattern,Total pattern,Object pattern
Can you have code after unconditional pattern?,No (unreachable),Yes,Only default,Only return
What is refinement in patterns?,More specific pattern after general,Pattern improvement,Nested pattern,Guard pattern
Can you refine with guard?,Yes,No,Only switch,Only if
What is constant case in pattern switch?,"Regular case like case ""text"":",Pattern case,Null case,Default case
Can you mix constant and pattern cases?,Yes,No,Only primitives,Only String
What is case compatibility?,Patterns must not dominate,All cases allowed,Type matching,Pattern ordering
What is benefit of pattern matching?,"More concise,  less casting,  safer",Performance,Memory,Syntax only
Can you use pattern in for loop?,No,Yes,Only enhanced for,Only Java 21
Can you use pattern in catch?,No,Yes,Only multi-catch,Only Java 21
What replaces cast after instanceof?,Pattern variable,Nothing,Automatic cast,Type inference
"For if (obj instanceof String s), do you need cast?",No (s is already String),Yes,Only sometimes,Only in else
Can you assign to pattern variable?,No (effectively final),Yes,Only once,Only primitives
What is pattern variable mutability?,Effectively final,Mutable,Final,Constant
Can pattern variable capture?,Yes (in lambda/inner class),No,Only lambda,Only inner class
What is sealed interface use case?,Defining closed set of types,All interfaces,Open hierarchy,Multiple inheritance
Can sealed types improve performance?,Potentially (JVM optimizations),No,Always,Only with final
What is exhaustive coverage?,All possible types handled,All values covered,Complete code,No gaps
What does compiler check for exhaustiveness?,All permitted types covered or default present,Nothing,Only runtime,Only warnings
Can you use sealed with enum?,No (enum is implicitly final),Yes,Only constants,Only methods
Can abstract class be permitted subclass?,Yes,No,Only concrete,Only final
Can you have zero permitted subclasses?,No (at least one required),Yes,Only abstract,Only interface
What is advantage over final?,Allows controlled extension,No extension,Open extension,Same as final
What is advantage over open class?,"Limited,  known subclasses",Unlimited subclasses,Same as open,No advantage
Can you use reflection with sealed classes?,Yes,No,Only getPermittedSubclasses(),Only checking
What method gets permitted subclasses?,getPermittedSubclasses(),getSubclasses(),getChildren(),getImplementations()
Can you seal nested class?,Yes,No,Only static,Only inner
Can you seal record?,No (records are implicitly final),Yes,Only fields,Only methods
Can sealed class have private constructor?,Yes,No,Only public,Only protected
What visibility must permitted subclasses have?,Accessible to sealed class,Any visibility,Public only,Same package only
Can you retroactively permit subclass?,No (permits fixed at compile time),Yes,Only same module,Only with annotation
What is use of non-sealed in hierarchy?,Allow open extension from that point,Close extension,Seal more,Remove sealing
Can library use sealed classes?,Yes (but limits client extension),No,Only applications,Only internal
When to use sealed classes?,Closed domain models,Always,Never,Only utilities
