Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Which queue is commonly used in ThreadPoolExecutor?,LinkedBlockingQueue,ArrayBlockingQueue,PriorityQueue,SynchronousQueue
What is RejectedExecutionHandler?,Handles rejected tasks,Handles exceptions,Handles timeouts,Handles shutdown
What are rejection policies?,ABORT, DISCARD, DISCARD_OLDEST, CALLER_RUNS,ABORT only,THROW only,ERROR only
What does AbortPolicy do?,Throws RejectedExecutionException,Silently discards,Runs in caller,Discards oldest
What does DiscardPolicy do?,Silently discards task,Throws exception,Runs in caller,Queues forever
What does DiscardOldestPolicy do?,Discards oldest queued task,Discards new task,Throws exception,Runs in caller
What does CallerRunsPolicy do?,Runs task in caller thread,Throws exception,Discards task,Creates new thread
Which pool is designed for ForkJoin tasks?,ForkJoinPool,FixedThreadPool,CachedThreadPool,WorkStealingPool
What is work-stealing?,Idle threads take tasks from busy threads,Load balancing,Priority scheduling,Thread creation
Which method creates WorkStealingPool?,Executors.newWorkStealingPool(),Executors.newForkJoinPool(),Executors.workStealing(),new WorkStealingPool()
What parallelism does WorkStealingPool use by default?,Number of processors,1,10,Unlimited
Which service helps retrieve completed tasks?,CompletionService,ExecutorService,FutureService,ResultService
Which implementation of CompletionService is common?,ExecutorCompletionService,StandardCompletionService,DefaultCompletionService,FutureCompletionService
What does CompletionService.take() do?,Retrieves and removes next completed task,Peeks at next task,Submits task,Cancels task
What does CompletionService.poll() do?,Retrieves completed task or null,Blocks until task completes,Submits task,Cancels task
Can CompletionService.poll() have timeout?,Yes,No,Only milliseconds,Only seconds
Why use CompletionService?,Process results as they complete,Faster execution,Thread safety,Automatic retry
Which method gracefully shuts down executor?,shutdown(),stop(),close(),terminate()
Which method forces immediate shutdown?,shutdownNow(),shutdown(),forceShutdown(),kill()
What does shutdown() return?,void,List of tasks,Boolean,Future
What does shutdownNow() return?,List of waiting tasks,void,Boolean,Number of tasks
Can you submit tasks after shutdown()?,No (throws RejectedExecutionException),Yes,Only running tasks,Only queued tasks
Do running tasks complete after shutdown()?,Yes,No,Sometimes,Only daemon
Do running tasks complete after shutdownNow()?,Attempts to interrupt,Yes (always),No (always),Only if quick
Which method waits for termination?,awaitTermination(),waitForTermination(),join(),wait()
Does awaitTermination() shut down executor?,No,Yes,Sometimes,Only on timeout
What does awaitTermination() return?,boolean (true if terminated),void,List of tasks,Number of tasks
Can awaitTermination() timeout?,Yes,No,Only seconds,Never times out
Which state indicates executor won't accept tasks?,isShutdown(),isStopped(),isClosed(),isTerminated()
Which state indicates all tasks completed?,isTerminated(),isShutdown(),isDone(),isComplete()
Can threads have priorities?,Yes,No,Only daemon,Only in Java 17
What is the priority range?,1-10,0-10,1-100,0-100
What is Thread.MIN_PRIORITY?,1,0,10,5
What is Thread.MAX_PRIORITY?,10,100,1,5
What is Thread.NORM_PRIORITY?,5,1,10,0
Which method sets priority?,setPriority(),priority(),setLevel(),level()
Are priorities guaranteed to work?,No (JVM/OS dependent),Yes (always),Only on Linux,Only in Java 17
What is a ThreadGroup?,Container for organizing threads,Thread pool,Executor,Synchronizer
Can ThreadGroup limit max priority?,Yes,No,Only for daemon,Only in Java 17
Is ThreadGroup commonly used?,No (mostly legacy),Yes (recommended),Required,Only in Java 17
Which method handles uncaught exceptions?,setUncaughtExceptionHandler(),setCatchHandler(),setExceptionHandler(),onException()
Can you set default exception handler?,Yes (static method),No,Only per thread,Only in Java 17
What interface is UncaughtExceptionHandler?,Thread.UncaughtExceptionHandler,ExceptionHandler,UncaughtHandler,ThreadExceptionHandler
What method does UncaughtExceptionHandler require?,uncaughtException(Thread, Throwable),handle(Exception),catch(Throwable),onException(Throwable)
Are daemon thread exceptions handled differently?,JVM may exit before handler runs,Same as non-daemon,Always handled,Never handled
Which thread always exists?,main thread,daemon thread,worker thread,executor thread
Is main thread a daemon?,No,Yes,Configurable,Depends on OS
Can you make main thread daemon?,No (throws IllegalThreadStateException),Yes,After start,Before start
What happens if exception in Runnable?,Task terminates,Thread pool terminates,JVM exits,Exception ignored
What happens if exception in Callable?,Wrapped in ExecutionException,Task terminates silently,Thread terminates,JVM exits
How do you get Callable exception?,Catch ExecutionException from get(),Try-catch in call(),Automatically propagated,Exception handler
Does Future.get() throw exceptions?,Yes (ExecutionException, InterruptedException),No,Only ExecutionException,Only InterruptedException
What wraps the original exception in Future?,ExecutionException,RuntimeException,Exception,Throwable
Which method gets cause from ExecutionException?,getCause(),getOriginal(),getException(),getRoot()
